3 3 1 4 4 1 4 2, 3 4 3 1 3 3 1 2 2, 2 1 1 2 4 4 4 4 2, 3 3 1 4 4 1 4 2 3 4 3 1 3 3 1 2 2 2 1 1 2 4 4 4 4 2, 0 8 17 1 9 18 2 10 20 3 4 12 22 5 13 23 6 14 24 7 16 25, 5 20 15
3 1 2 4 1 1 4 2 4, 3 4 1 2 4 2 2 4, 4 2 1 1 3 2 3 2 3, 3 1 2 4 1 1 4 2 4 3 4 1 2 4 2 2 4 4 2 1 1 3 2 3 2 3, 0 9 17 1 10 18 2 3 11 19 4 13 21 5 6 14 23 7 15 24 8 16 25, 5 20 16
2 4 3 3 2 1 3 3, 3 1 3 4 4 1 1 2, 3 4 3 3 3 1 2 3, 2 4 3 3 2 1 3 3 3 1 3 4 4 1 1 2 3 4 3 3 3 1 2 3, 0 8 16 1 9 17 2 10 3 11 18 4 12 20 5 13 21 6 14 22 7 15, 5 20 17
1 2 1 2 3 2 3 2 2 1, 3 4 2 3 3 2 3 1, 4 2 1 3 4 1 2 3, 1 2 1 2 3 2 3 2 2 1 3 4 2 3 3 2 3 1 4 2 1 3 4 1 2 3, 0 10 18 1 11 19 2 3 12 20 4 13 21 5 14 22 6 7 16 25 8 9 17, 5 20 18
3 1 4 2 2 4 2 3 1, 3 2 4 3 2 4 4 1, 3 3 2 2 2 3 3 4 1, 3 1 4 2 2 4 2 3 1 3 2 4 3 2 4 4 1 3 3 2 2 2 3 3 4 1, 0 9 17 1 10 18 2 11 19 3 12 20 4 13 22 6 15 24 8 16 25, 5 21 15
2 4 1 2 2 4 3 4, 3 3 3 4 1 2 1 3 1, 2 4 2 3 3 4 3, 2 4 1 2 2 4 3 4 3 3 3 4 1 2 1 3 1 2 4 2 3 3 4 3, 0 8 17 1 9 18 2 10 19 3 11 20 4 5 12 21 6 14 23 7 15, 5 21 16
2 2 2 4 1 2 1 3 3, 4 3 4 2 1 2 3 1, 3 2 3 2 1 1 1 2 3 1, 2 2 2 4 1 2 1 3 3 4 3 4 2 1 2 3 1 3 2 3 2 1 1 1 2 3 1, 0 9 17 1 10 18 2 3 11 19 4 12 21 5 13 22 6 14 23 7 15 24 8 16 26, 5 21 17
1 3 3 2 1 4 1 2, 4 1 4 1 3 1 3 3, 3 3 1 2 4 1 2 2, 1 3 3 2 1 4 1 2 4 1 4 1 3 1 3 3 3 3 1 2 4 1 2 2, 0 8 16 1 2 10 18 3 11 20 5 12 6 14 22 7 15 23, 5 21 18
2 2 4 4 1 3 4 1 2, 3 1 1 4 2 2 2 4 3, 1 4 4 2 2 1 3 1 3, 2 2 4 4 1 3 4 1 2 3 1 1 4 2 2 2 4 3 1 4 4 2 2 1 3 1 3, 0 9 18 1 10 19 2 11 20 3 13 21 4 14 22 5 15 24 6 16 25 7 17 26 8, 5 22 15
1 2 1 3 1 3 2 1 4, 4 2 1 3 1 4 2 4, 2 3 1 3 1 1 3 2 1 1, 1 2 1 3 1 3 2 1 4 4 2 1 3 1 4 2 4 2 3 1 3 1 1 3 2 1 1, 0 9 17 1 2 10 18 3 11 19 4 12 20 5 13 21 6 14 22 7 15 24 8 16 25, 5 22 16
2 1 4 4 1 2 4 2, 1 2 1 1 2 3 1 4 4, 4 1 1 1 3 1 3 4 1, 2 1 4 4 1 2 4 2 1 2 1 1 2 3 1 4 4 4 1 1 1 3 1 3 4 1, 0 8 17 1 9 2 10 18 3 12 20 4 14 23 6 15 7 16 24, 5 22 17
1 3 1 2 4 2 3 2, 4 4 4 2 1 2 3, 4 2 2 1 1 4 1 3, 1 3 1 2 4 2 3 2 4 4 4 2 1 2 3 4 2 2 1 1 4 1 3, 0 8 15 1 2 9 16 3 10 18 4 5 12 20 6 13 21 7 14 22, 5 22 18
1 3 2 3 3 1 1 1 2 3, 3 3 2 4 4 4 1 3, 1 4 1 2 1 3 1 2 2 2, 1 3 2 3 3 1 1 1 2 3 3 3 2 4 4 4 1 3 1 4 1 2 1 3 1 2 2 2, 0 10 18 1 11 19 2 12 20 3 4 13 22 5 14 23 6 15 25 7 8 16 26 9 17 27, 6 20 15
1 3 4 4 1 2 4 3, 3 2 4 1 3 2 2 1 4, 3 1 3 2 4 1 3 2 1, 1 3 4 4 1 2 4 3 3 2 4 1 3 2 2 1 4 3 1 3 2 4 1 3 2 1, 0 8 17 1 9 18 2 10 19 3 11 21 4 12 5 13 22 6 14 23 7 16 25, 6 20 16
1 2 4 2 3 4 1 2, 3 2 1 1 1 3 3 4 3, 4 4 2 4 1 2 1 1, 1 2 4 2 3 4 1 2 3 2 1 1 1 3 3 4 3 4 4 2 4 1 2 1 1, 0 8 17 1 9 18 2 3 11 19 4 13 20 5 14 21 6 15 23 7 16 24, 6 20 17
1 3 2 3 1 1 3 1 1, 4 3 2 4 2 2 1 2, 3 1 2 3 2 2 4 2 1, 1 3 2 3 1 1 3 1 1 4 3 2 4 2 2 1 2 3 1 2 3 2 2 4 2 1, 0 9 17 1 2 10 18 3 11 20 4 12 21 5 13 22 6 7 15 24, 6 20 18
1 4 4 3 2 3 2 2, 3 2 4 1 4 2 1 4 2, 3 1 4 2 3 3 3 1 2, 1 4 4 3 2 3 2 2 3 2 4 1 4 2 1 4 2 3 1 4 2 3 3 3 1 2, 0 8 17 1 9 18 2 10 19 3 11 20 4 12 21 5 13 22 6 14 23 7 15 24, 6 21 15
